Name,Destination,Deadline,Field,Link
ISC2 Undergraduate Scholarships 2025-26,Global,2025-03-03,Cybersecurity,https://www.wemakescholars.com/bachelors-scholarships-for-international-students-in-libya
Well Mountain Initiative Scholar Program,Developing Countries,2025-03-01,Various,https://www.wemakescholars.com/bachelors-scholarships-for-international-students-in-libya
German Medical Students' Association Exchange,Global,2025-03-31,Medicine,https://www.wemakescholars.com/bachelors-scholarships-for-international-students-in-libya
NLB Scholarship 2025,Singapore,2025-03-21,Various,https://www.wemakescholars.com/bachelors-scholarships-for-international-students-in-libya
Donald and Barbara Mozley Scholarship,USA,2025-02-28,Engineering,https://www.wemakescholars.com/bachelors-scholarships-for-international-students-in-libya
IMU Breakout Graduate Fellowship Program,Developing Countries,2025-05-31,Mathematical Sciences,https://www.wemakescholars.com/graduate-scholarships-for-international-students-in-libya
Royal Society International Exchange Programme,UK & Global,2025-03-12,Natural Sciences,https://www.wemakescholars.com/graduate-scholarships-for-international-students-in-libya
Mahmoud S. Rabbani Fellowship,Netherlands/Arab Countries,2025-03-31,Various,https://www.wemakescholars.com/graduate-scholarships-for-international-students-in-libya
Abel Visiting Scholar Program,Developing Countries,2025-04-30,Mathematics,https://www.wemakescholars.com/graduate-scholarships-for-international-students-in-libya
Richard A. Freund International Scholarship,Global,2025-04-01,Quality Control,https://www.wemakescholars.com/graduate-scholarships-for-international-students-in-libya
Cancer Research Institute Irvington Fellowship,Global,2025-09-01,Cancer Immunology,https://www.wemakescholars.com/postdoctoral-scholarships-for-international-students-in-libya
Wellcome Early Career Awards,"UK, Ireland, LMIC",2025-05-22,Various,https://www.wemakescholars.com/postdoctoral-scholarships-for-international-students-in-libya
Wellcome Career Development Awards,"UK, Ireland, LMIC",2025-04-03,Various,https://www.wemakescholars.com/postdoctoral-scholarships-for-international-students-in-libya
TWAS-SN Bose Postgraduate Fellowship Programme,Developing Countries,2025-06-20,Science & Technology,https://www.scholarshiplit.com/scholarship-for/libya/contests
Max Planck - Weizmann Joint Postdoctoral Program,Germany,2025-05-26,Various,https://www.scholarshipbob.com/scholarships-for/libya
Leadership Awards Summit 2025,USA (New York),2025-06-30,Leadership,https://www.scholarshiplit.com/scholarship-for/libya/contests
Durham University Postgraduate Support Scholarships,UK,2025-06-04,Various,https://www.scholarshiplit.com/scholarship-for/libya/contests
Aziz Foundation Postgraduate Scholarship,UK,2025-06-20,Various,https://www.scholarshiplit.com/scholarship-for/libya/contests
